wav_filename,mp4_filename,dialogue_id,utterance_id,emotion,text
dia907_utt4.wav,dia907_utt4.mp4,907,4,anger,I won't!  Until I have my next cigarette.
dia188_utt5.wav,dia188_utt5.mp4,188,5,anger,"I do not always have to beokay, okay."
dia10_utt2.wav,dia10_utt2.mp4,10,2,anger,You wouldn't believe what people put in here!
dia32_utt12.wav,dia32_utt12.mp4,32,12,anger,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!"
dia875_utt6.wav,dia875_utt6.mp4,875,6,anger,"This is a garden view room, and we paid for an ocean view room."
dia206_utt13.wav,dia206_utt13.mp4,206,13,anger,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier."
dia277_utt3.wav,dia277_utt3.mp4,277,3,anger,"It was so stupid, I said some stuff in an interview that I shouldnt have said."
dia888_utt3.wav,dia888_utt3.mp4,888,3,anger,"All right, all right, if you insist on doing this, at least let me help you."
dia275_utt1.wav,dia275_utt1.mp4,275,1,anger,"Well, I'm justif the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!"
dia1025_utt9.wav,dia1025_utt9.mp4,1025,9,anger,Come on!
dia272_utt2.wav,dia272_utt2.mp4,272,2,anger,"Yknow what? Im not talking to you! You go back to sleep!  And you, are you a rapist?!"
dia873_utt5.wav,dia873_utt5.mp4,873,5,anger,"Oh, I'm still mad at them but I also now that they bring happiness to lots of kids who's moms didn't kill themselves, so by supporting them, I'm doing a good thing, but I'm not"
dia771_utt16.wav,dia771_utt16.mp4,771,16,anger,I know!
dia39_utt5.wav,dia39_utt5.mp4,39,5,anger,"You look at me, and its nothin."
dia615_utt5.wav,dia615_utt5.mp4,615,5,anger,"Hey, this is so unfair!"
dia28_utt1.wav,dia28_utt1.mp4,28,1,anger,Are you kidding?
dia82_utt2.wav,dia82_utt2.mp4,82,2,anger,Chandler! Hes your father.  he should be at the wedding.
dia615_utt9.wav,dia615_utt9.mp4,615,9,anger,Like Joey's constant knuckle-cracking isn't annoying?
dia81_utt14.wav,dia81_utt14.mp4,81,14,anger,I was the last one to know when Chandler got bitten by the peacock at the zoo.
dia819_utt5.wav,dia819_utt5.mp4,819,5,anger,Secret? Married people arent supposed to have secrets between one another. We have too much love and respect for one another.
dia592_utt13.wav,dia592_utt13.mp4,592,13,anger,Damnit Phoebe!!
dia148_utt17.wav,dia148_utt17.mp4,148,17,anger,"Aw, I know all about Kip!"
dia887_utt6.wav,dia887_utt6.mp4,887,6,anger,"Let me get this straight man, you attacked your ex-wife?!"
dia523_utt21.wav,dia523_utt21.mp4,523,21,anger,"Well, he made a move on me."
dia336_utt7.wav,dia336_utt7.mp4,336,7,anger,"No, just, just, just a couple more boxes."
dia833_utt4.wav,dia833_utt4.mp4,833,4,anger,"I mean come on, that is just noise!"
dia395_utt4.wav,dia395_utt4.mp4,395,4,anger,Uh-huh!
dia69_utt6.wav,dia69_utt6.mp4,69,6,anger,"Ok, you weren't there."
dia255_utt11.wav,dia255_utt11.mp4,255,11,anger,"You know, you shouldn't even be here, it's a school night."
dia835_utt5.wav,dia835_utt5.mp4,835,5,anger,Would you tell her I let you win please?
dia189_utt8.wav,dia189_utt8.mp4,189,8,anger,"Ohh, out, oh God, I don't know why we didn't think to check there!"
dia151_utt16.wav,dia151_utt16.mp4,151,16,anger,You are asking me to be your wife!
dia431_utt6.wav,dia431_utt6.mp4,431,6,anger,"Ohh, that's so nice! How great! Well, where? Where's the trip?!"
dia704_utt1.wav,dia704_utt1.mp4,704,1,anger,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down."
dia923_utt10.wav,dia923_utt10.mp4,923,10,anger,When?
dia496_utt10.wav,dia496_utt10.mp4,496,10,anger,"No! No, I am not getting in a car with Ross, we will just have to live here!"
dia933_utt14.wav,dia933_utt14.mp4,933,14,anger,Dont wink at me. And put on your apron.
dia621_utt3.wav,dia621_utt3.mp4,621,3,anger,Theyre having their baby!
dia356_utt10.wav,dia356_utt10.mp4,356,10,anger,"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket."
dia613_utt10.wav,dia613_utt10.mp4,613,10,anger,I know! You see it is stuff like this which is why  youre burning in hell!!
dia374_utt8.wav,dia374_utt8.mp4,374,8,anger,I mean we should get free stuff too!
dia785_utt1.wav,dia785_utt1.mp4,785,1,anger,What about my children Drake?! Huh!?  No!! No!! No! God!
dia670_utt1.wav,dia670_utt1.mp4,670,1,anger,"Oh God, oh."
dia331_utt0.wav,dia331_utt0.mp4,331,0,anger,Oh! Here we
dia589_utt7.wav,dia589_utt7.mp4,589,7,anger,I dont need you guys to care about me!
dia849_utt10.wav,dia849_utt10.mp4,849,10,anger,I look more like him than you do!
dia902_utt0.wav,dia902_utt0.mp4,902,0,anger,Im telling you its like watching Bambi learn how to walk.
dia1017_utt3.wav,dia1017_utt3.mp4,1017,3,anger,Kind of? If you just kept this to yourself none of this would've happened.
dia288_utt6.wav,dia288_utt6.mp4,288,6,anger,Damnit!
dia932_utt6.wav,dia932_utt6.mp4,932,6,anger,"Please, what about you and Chandler?"
dia154_utt2.wav,dia154_utt2.mp4,154,2,anger,"All right that's, that's it!! Get off her!"
dia598_utt2.wav,dia598_utt2.mp4,598,2,anger,What kind of father do you think I am?
dia15_utt0.wav,dia15_utt0.mp4,15,0,anger,Get Out!
dia716_utt4.wav,dia716_utt4.mp4,716,4,anger,"If-if Im the only person with any appreciation of the sanctity of the written word, Ill go up there and defend it myself!"
dia256_utt14.wav,dia256_utt14.mp4,256,14,anger,Get out!
dia830_utt2.wav,dia830_utt2.mp4,830,2,anger,Watch it lady!
dia946_utt13.wav,dia946_utt13.mp4,946,13,anger,No!
dia770_utt5.wav,dia770_utt5.mp4,770,5,anger,"Can you just pick one so I can watch--have a perfect, magical weekend together with you."
dia704_utt2.wav,dia704_utt2.mp4,704,2,anger,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!
dia960_utt0.wav,dia960_utt0.mp4,960,0,anger,The waiter carried the breadsticks in his pants!
dia496_utt7.wav,dia496_utt7.mp4,496,7,anger,Who?
dia530_utt11.wav,dia530_utt11.mp4,530,11,anger,"Otherwise, youre just mean!"
dia29_utt11.wav,dia29_utt11.mp4,29,11,anger,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone"
dia607_utt2.wav,dia607_utt2.mp4,607,2,anger,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease."
dia385_utt0.wav,dia385_utt0.mp4,385,0,anger,"Well, thats not something a girl wants to hear."
dia931_utt1.wav,dia931_utt1.mp4,931,1,anger,"I can't prove    it yet, but when I do, you'll be going to jail for murder."
dia861_utt3.wav,dia861_utt3.mp4,861,3,anger,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?"
dia228_utt0.wav,dia228_utt0.mp4,228,0,anger,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!"
dia770_utt7.wav,dia770_utt7.mp4,770,7,anger,Nothing! It's over! Dammit! This is regularly scheduled programming!
dia260_utt1.wav,dia260_utt1.mp4,260,1,anger,She cancelled! My namesake cancelled on me!
dia654_utt3.wav,dia654_utt3.mp4,654,3,anger,"Yeah you will!  And, are you kiddin me?!"
dia634_utt7.wav,dia634_utt7.mp4,634,7,anger,Crap!!
dia839_utt1.wav,dia839_utt1.mp4,839,1,anger,Youre making one right now!
dia163_utt3.wav,dia163_utt3.mp4,163,3,anger,Yeah! Richard!
dia304_utt8.wav,dia304_utt8.mp4,304,8,anger,"Ah-ah-ah, now you started this, you will finish it."
dia241_utt3.wav,dia241_utt3.mp4,241,3,anger,"He's totally ok with seeing you!""."
dia6_utt18.wav,dia6_utt18.mp4,6,18,anger,This guy fell asleep!
dia613_utt9.wav,dia613_utt9.mp4,613,9,anger,I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time!
dia513_utt3.wav,dia513_utt3.mp4,513,3,anger,I dont know Tag! How can your genitals make phone calls? Okay? Its not a perfect world! Just go please.
dia295_utt7.wav,dia295_utt7.mp4,295,7,anger,"Yeah, you made me feel really guilty about goin out with that girl!"
dia481_utt12.wav,dia481_utt12.mp4,481,12,anger,"Rachel, things can get incredibly complicated."
dia707_utt14.wav,dia707_utt14.mp4,707,14,anger,I thought I told you to get outta here!
dia148_utt4.wav,dia148_utt4.mp4,148,4,anger,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio"
dia571_utt15.wav,dia571_utt15.mp4,571,15,anger,"Hey, thats never gonna make it all the way over here, buddy!"
dia200_utt5.wav,dia200_utt5.mp4,200,5,anger,Can I tell you something? Me too.
dia123_utt4.wav,dia123_utt4.mp4,123,4,anger,It's not funny!
dia210_utt2.wav,dia210_utt2.mp4,210,2,anger,The picture of my wife! In your pack!
dia573_utt8.wav,dia573_utt8.mp4,573,8,anger,Its not something you are! Its something you have!
dia404_utt7.wav,dia404_utt7.mp4,404,7,anger,"Look, forget about it, okay?"
dia794_utt2.wav,dia794_utt2.mp4,794,2,anger,"Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that Im gonna be at that airport and I hope that shell be there too!"
dia936_utt17.wav,dia936_utt17.mp4,936,17,anger,"Yknow, its too late!"
dia907_utt11.wav,dia907_utt11.mp4,907,11,anger,You apologize to the tree right now or I am calling for backup.   Backup! Backup!!
dia70_utt7.wav,dia70_utt7.mp4,70,7,anger,Were not throwing it away! I built that canoe!
dia295_utt10.wav,dia295_utt10.mp4,295,10,anger,ThatIts not the same thing! This is
dia400_utt0.wav,dia400_utt0.mp4,400,0,anger,"Yes, good! Ok..."
dia17_utt0.wav,dia17_utt0.mp4,17,0,anger,"Okay, see that blind guy right there? I'm gonna bash his head in later."
dia679_utt14.wav,dia679_utt14.mp4,679,14,anger,And-and thats only cause its right there when you turn it on!
dia46_utt6.wav,dia46_utt6.mp4,46,6,anger,Come on apartment! Come on apartment!  Oh! I know queen is high!
dia698_utt0.wav,dia698_utt0.mp4,698,0,anger,"Y'know, hey! Youre the one who ended it, remember?"
dia51_utt8.wav,dia51_utt8.mp4,51,8,anger,"Yeah, well you never have the time. I mean, I dont feel like I even have a girlfriend anymore, Rachel."
dia832_utt0.wav,dia832_utt0.mp4,832,0,anger,Hey!
dia15_utt20.wav,dia15_utt20.mp4,15,20,anger,We're academics.
dia901_utt4.wav,dia901_utt4.mp4,901,4,anger,"Do you ah, want to get her something speacial, get her flowers, get her candy, get her gum, girls love gum."
dia596_utt0.wav,dia596_utt0.mp4,596,0,anger,Of course! Only an idiot would wear this stuff if you didnt have the car! Right?
dia374_utt7.wav,dia374_utt7.mp4,374,7,anger,You already got the first class tickets.. you got the lounge!
dia556_utt4.wav,dia556_utt4.mp4,556,4,anger,Oh what then? Kick me?
dia30_utt4.wav,dia30_utt4.mp4,30,4,anger,"So Ross, what your problem?"
dia892_utt10.wav,dia892_utt10.mp4,892,10,anger,Remember that guy that gave me a bad review? Well  Im getting my revenge!
dia615_utt7.wav,dia615_utt7.mp4,615,7,anger,So I have a flaw!
dia795_utt7.wav,dia795_utt7.mp4,795,7,anger,No! Never! Never!  Bye.
dia770_utt16.wav,dia770_utt16.mp4,770,16,anger,What did you say?
dia595_utt3.wav,dia595_utt3.mp4,595,3,anger,Im not getting into this again!
dia298_utt1.wav,dia298_utt1.mp4,298,1,anger,No! You let go!
dia596_utt20.wav,dia596_utt20.mp4,596,20,anger,The judge wouldnt let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?
dia109_utt3.wav,dia109_utt3.mp4,109,3,anger,"Ha-ha, its not my baby, ha-ha-ha!"
dia572_utt20.wav,dia572_utt20.mp4,572,20,anger,Dont you talk to my husband like that you stupid bastard!
dia867_utt7.wav,dia867_utt7.mp4,867,7,anger,Yeah that! You know I hate practical jokes! Theyre mean and theyre stupid and-and I dont want my son learning them!
dia997_utt3.wav,dia997_utt3.mp4,997,3,anger,Well next time ask! Or at least wait for me to ask!
dia312_utt17.wav,dia312_utt17.mp4,312,17,anger,"Noo!! I dont care! Im not, Im not gonna playing one-on-one strip poker with you for practice!"
dia615_utt8.wav,dia615_utt8.mp4,615,8,anger,Big deal!
dia617_utt7.wav,dia617_utt7.mp4,617,7,anger,"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!"""
dia395_utt2.wav,dia395_utt2.mp4,395,2,anger,Okay! When?!
dia671_utt15.wav,dia671_utt15.mp4,671,15,anger,"Nah ah! Nah ah!  No no no! No ad-libbing    and dude, you can't"
dia351_utt5.wav,dia351_utt5.mp4,351,5,anger,Oh? Really? Thats what my daughter means to you? Nothing?
dia275_utt0.wav,dia275_utt0.mp4,275,0,anger,What difference does that make?!
dia707_utt10.wav,dia707_utt10.mp4,707,10,anger,No drinks near the bucket!
dia182_utt9.wav,dia182_utt9.mp4,182,9,anger,That doesn't mean anything!
dia786_utt2.wav,dia786_utt2.mp4,786,2,anger,It’s just so frustrating! Why doesn’t she want my breast?!
dia961_utt1.wav,dia961_utt1.mp4,961,1,anger,Ohh. Uh-huh. Uh-huh.  You'll get your turn!
dia932_utt4.wav,dia932_utt4.mp4,932,4,anger,"I just wanted to let you know I've changed my mind: I'm gonna    do it, I'm gonna kiss Joey."
dia259_utt2.wav,dia259_utt2.mp4,259,2,anger,MY SANDWICH?!!!
dia561_utt5.wav,dia561_utt5.mp4,561,5,anger,Hello! Were we at the same table? It's like... cocktails in Appalachia.
dia97_utt3.wav,dia97_utt3.mp4,97,3,anger,That almost hit me in the face.
dia1017_utt8.wav,dia1017_utt8.mp4,1017,8,anger,"Well, I've been reading up and for your information, minks are not very nice."
dia123_utt2.wav,dia123_utt2.mp4,123,2,anger,Okay?
dia466_utt11.wav,dia466_utt11.mp4,466,11,anger,"Oh yeah? Well, I'm rubber, you're glue, whatevercan't do it.  Listen, uh- gimme back my puck."
dia869_utt12.wav,dia869_utt12.mp4,869,12,anger,"And you'll be all, 'Ohh, man!'"
dia517_utt0.wav,dia517_utt0.mp4,517,0,anger,Come on more!
dia410_utt2.wav,dia410_utt2.mp4,410,2,anger,"Would you excuse me, please? I'm trying to have a date here."
dia936_utt16.wav,dia936_utt16.mp4,936,16,anger,"Look, Rachel, if you go, youre just gonna mess with his head and ruin his wedding!"
dia908_utt15.wav,dia908_utt15.mp4,908,15,anger,"Its called the Bapstein-King comet, okay?  Hey! Hey! Bapstein was a very well respected astronomer!"
dia918_utt5.wav,dia918_utt5.mp4,918,5,anger,"Hey, look, this name has been holding me back my entire life."
dia996_utt13.wav,dia996_utt13.mp4,996,13,anger,So what are you saying? Its now or never?
dia51_utt10.wav,dia51_utt10.mp4,51,10,anger,"You want me, you want me to quit my job so you can feel like you have a girlfriend?"
dia200_utt1.wav,dia200_utt1.mp4,200,1,anger,No! He blew us off!
dia714_utt2.wav,dia714_utt2.mp4,714,2,anger,No! No!! No! Can I speak to someone in charge please?!
dia658_utt5.wav,dia658_utt5.mp4,658,5,anger,"What are you, insane?"
dia206_utt12.wav,dia206_utt12.mp4,206,12,anger,"No, you started it."
dia295_utt6.wav,dia295_utt6.mp4,295,6,anger,Thats right!
dia39_utt17.wav,dia39_utt17.mp4,39,17,anger,It doesnt say that in the script.
